Year,Winner,Runner_Up,Winner_Country_Code,Runner_Up_Country_Code
1930,Uruguay,Argentina,URU,ARG
1934,Italy,Czechoslovakia,ITA,TCH
1938,Italy,Hungary,ITA,HUN
1950,Uruguay,Brazil,URU,BRA
1954,Germany,Hungary,DEU,HUN
1958,Brazil,Sweden,BRA,SWE
1962,Brazil,Czechoslovakia,BRA,TCH
1966,England,Germany,ENG,DEU
1970,Brazil,Italy,BRA,ITA
1974,Germany,Netherlands,DEU,NLD
1978,Argentina,Netherlands,ARG,NLD
1982,Italy,Germany,ITA,DEU
1986,Argentina,Germany,ARG,DEU
1990,Germany,Argentina,DEU,ARG
1994,Brazil,Italy,BRA,ITA
1998,France,Brazil,FRA,BRA
2002,Brazil,Germany,BRA,DEU
2006,Italy,France,ITA,FRA
2010,Spain,Netherlands,ESP,NLD
2014,Germany,Argentina,DEU,ARG
2018,France,Croatia,FRA,HRV
2022,Argentina,France,ARG,FRA
